id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
310131.0,en,The Witch,56.579,2015-01-27,6.8,5066.0,"['Horror', 'Drama', 'Mystery']","In 1630s New England, William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness, exiled from their settlement when William defies the local church. When their newborn son vanishes and crops mysteriously fail, the family turns on one another.",40423945.0,92.0,Evil takes many forms.
2100.0,en,The Last Castle,15.538,2001-10-19,7.1,876.0,"['Action', 'Drama', 'Thriller']",A court-martialed general rallies together 1200 inmates to rise against the system that put him away.,27642707.0,131.0,A Castle Can Only Have One King
465003.0,en,The Red Sea Diving Resort,15.659,2019-07-28,6.9,613.0,"['Drama', 'Thriller', 'History']","Sudan, East Africa, 1980. A team of Israeli Mossad agents plans to rescue and transfer thousands of Ethiopian Jews to Israel. To do so, and to avoid raising suspicions from the inquisitive and ruthless authorities, they establish as a cover a fake diving resort by the Red Sea.",0.0,130.0,In the 1980s one partnership saved thousands of lives
326215.0,en,Ooops! Noah is Gone...,25.109,2015-03-26,6.3,236.0,"['Animation', 'Adventure', 'Comedy', 'Family']","It's the end of the world. A flood is coming. Luckily for Dave and his son Finny, a couple of clumsy Nestrians, an Ark has been built to save all animals. But as it turns out, Nestrians aren't allowed. Sneaking on board with the involuntary help of Hazel and her daughter Leah, two Grymps, they think they're safe. Until the curious kids fall off the Ark. Now Finny and Leah struggle to survive the flood and hungry predators and attempt to reach the top of a mountain, while Dave and Hazel must put aside their differences, turn the Ark around and save their kids. It's definitely not going to be smooth sailing.",769028.0,85.0,"One ark, 50,000 animals. What could go wrong?"
146229.0,en,Kristy,9.8,2014-08-07,6.0,292.0,"['Thriller', 'Horror']","When a college girl who is alone on campus over the Thanksgiving break is targeted by a group of outcasts, she must conquer her deepest fears to outwit them and fight back.",0.0,86.0,Run for your life
187257.0,en,Fucking Different XXX,41.323,2012-02-08,5.7,5.0,['Drama'],"In Fucking Different XXX, the passion for explicit sex scenes brought eight international filmmakers together. The eight short films shot in Paris, Berlin and San Francisco are about intensive sex, quick sex, romantic sex, funny sex, the first sex, and the last sex. The range goes from a lesbian quickie in the toilet, a bloodthirsty orgy, romantic fisting all the way to wet teenage dreams. The result is a never seen before look upon sexual tastes and varieties, far from clichés, with a fresh and sometimes humorous approach.",0.0,94.0,Queer porn crossover
8273.0,en,American Wedding,45.964,2003-08-01,6.2,3251.0,"['Comedy', 'Romance']","With high school a distant memory, Jim and Michelle are getting married -- and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle -- prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",231449203.0,103.0,Forever hold your piece.
8999.0,en,Derailed,12.114,2005-11-11,6.3,753.0,"['Drama', 'Thriller']","When two married business executives having an affair are blackmailed by a violent criminal, they are forced to turn the tables on him to save their families.",57479076.0,108.0,He never saw it coming.
9427.0,en,The Full Monty,11.006,1997-08-13,7.0,1200.0,['Comedy'],"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",257850122.0,91.0,The year's most revealing comedy.
50348.0,en,The Lincoln Lawyer,19.957,2011-03-17,7.2,2379.0,"['Crime', 'Drama', 'Thriller']",A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.,85412898.0,119.0,This Case is a Dangerous Game of Life and Death.
